client_id	audio_id	audio_file	duration_ms	prompt_id	prompt	transcription	votes	age	gender	accents	variant	language	prompt_upvotes	prompt_reports	is_edited	split	char_per_sec	quality_tags
0abdb8c04390a61ac23a4fcfa3619071	71030	spontaneous-speech-de-71030.mp3	7020	7545	Wie siehst du die Zukunft der erneuerbaren Energien?	Erneuerbare Energien werden wohl immer günstiger und preiswerter werden und sich immer weiter und weiter verbreiten.	1	twenties	male_masculine	Deutschland Deutsch		German	0	0	0		14.387464387464387	
0abdb8c04390a61ac23a4fcfa3619071	71043	spontaneous-speech-de-71043.mp3	14508	7502	Welche Farbe magst du am meisten und warum?		0	twenties	male_masculine	Deutschland Deutsch		German	0	0	0			
e74342d518b399618418ba6f17c7e9e9	71096	spontaneous-speech-de-71096.mp3	7956	7495	Welche Jahreszeit magst du am liebsten und warum?	Ich mag am liebsten den Herbst, weil es schön bunt ist und weil es viel zu essen gibt	1	fourties	male_masculine	Schweizerdeutsch		German	0	0	1		8.547008547008547	
c5bfef2b58c8be672d457214d7def2bb	71254	spontaneous-speech-de-71254.mp3	22104	7499	Was ist dein Lieblingsgetränk und warum?	Mein Lieblingsgetränk ist Mineralwasser. Ganz normales Mineralwasser. Sprudelwasser mit Kohlensäure. Ich würde es auch ohne   Kohlensäure trinken. Aber mit Sprudel, ich weiß auch nicht, ist so eine Gewohnheitssache.ein Lieblingsgetränk ist Mineralwasser	1	fourties	male_masculine	Deutschland Deutsch		German	0	0	0		9.998190372783206	
c5bfef2b58c8be672d457214d7def2bb	71256	spontaneous-speech-de-71256.mp3	39096	7495	Welche Jahreszeit magst du am liebsten und warum?	Naja, es ist ja naturgemäß eher so, dass man sehr wahrscheinlich die wärmeren Monate bevorzugt, denn..ähm..man kann raus gehen und es ist auch die Zeit, wo man sich wahrscheinlich öfters mit Freunden außerhalb des Hauses trifft und sowas. Das ist immer sehr schön ..Von daher würd' ich sagen die Jahreszeiten, die warmen Jahreszeiten: Frühling, Sommer und natürlich auch bisschen Herbst noch rein...sind ..sind Okey..ich mein' ich würde auch den Winter mögen, aber nicht äh...(Lacht)..nicht im Alltag ..im Urlaub vielleicht schon	1	fourties	male_masculine	Deutschland Deutsch		German	0	0	1		11.510128913443829	
c5bfef2b58c8be672d457214d7def2bb	71258	spontaneous-speech-de-71258.mp3	32184	7498	Was ist dein Lieblingsfilm und warum?	Oh wau ehm, wie viel Zeit hast Du? [laugh] Nein eh in Wirklichkeit es gibt es gibt sowas, in mein Leben gibt es nicht den Lieblingsfilm. Eh Film ist ein en wahnsinnig tolles Medium und em ich es gibt viele es gibt sehr sehr sehr viele Filme die mich auf verschiedenen Ebenen ehm berühren und ich würd die niemals gegeneinander aufrechnen oder miteinander messen, weil sie alle auf Ihre Art und Weise großartig sind.	0	fourties	male_masculine	Deutschland Deutsch		German	0	0	0		10.626398210290828	
c5bfef2b58c8be672d457214d7def2bb	71259	spontaneous-speech-de-71259.mp3	18072	7506	Kochst du gerne und wenn ja, was?	Ja ich koche gerne und zwar alles. [laugh] Also ich würde jetzt keinen Fisch k.. ehm zubereiten weil das ess ich nicht. Aber ehm ich probier alles gern mal aus wenn nen tolles Rezept da ist oder ich irgendwelche Zutaten hab wo ich denk haaa das mach ich jetzt, mach ich das.	0	fourties	male_masculine	Deutschland Deutsch		German	0	0	0		12.339530765825588	
c5bfef2b58c8be672d457214d7def2bb	71261	spontaneous-speech-de-71261.mp3	63612	7552	Wie siehst du die Zukunft der Arbeit in einer digitalen Welt?	"Die Frage ist seltsam, die ""Arbeit in der digitalen Welt"" Es könnte gemeint sein, wie sehe ich die Zukunft der Menschen die Arbeiten oder ob Menschen noch Arbeit finden in der digitalen Welt. Oder, ob ich das so sehe, aber man könnte ja auch denken, ehm, ob äh, die Frage so gemeint ist als ob, also ob ich mir eine Zukunft in der digitalen Welt zu arbeiten vorstellen könnte. Ehm. Beides ist schwer zu beantworten, ich. Ja eh Ja, natürlich könnt ich mir eine Arbeit in der digitalen Welt vorstellen. Und auch Ja ehm, es wird weiterhin Arbeit geben, die eh von Menschen, sowie aber auch vieles von, von digitalen Mitbewohnern der Welt. Aber die Frage ist schwierig, sehr schwierig und sehr schwammig formuliert."	1	fourties	male_masculine	Deutschland Deutsch		German	0	0	0		9.243538954914166	
c5bfef2b58c8be672d457214d7def2bb	71267	spontaneous-speech-de-71267.mp3	104760	7520	Was war oder ist dein Lieblingsfach in der Schule und warum?		0	fourties	male_masculine	Deutschland Deutsch		German	0	0	0			
c5bfef2b58c8be672d457214d7def2bb	71269	spontaneous-speech-de-71269.mp3	42912	7535	Wenn du eine Milliarde Euro hättest, was würdest du damit machen?	Das ist einfach, ich würde bis auf den letzten Cent schauen, dass es mir und meinem nahen Umfeld [disfluency] finanziell damit [disfluency] weiterhilft. [disfluency] Absicherung, vielleicht einfach mal ein paar neue Sachen kaufen, [disfluency] vielleicht was zur Seite legen, wie auch immer, aber ich würde das mit mein- mit meinen Lieben und mit meinen nächsten Leuten aufteilen, [disfluency] wahrscheinlich so sehr, dass ich [laugh] hochgerechnet weniger kriegen würde, aber ich- Wann hat man schon einmal eine Million Euro, also als Normalsterblicher?	1	fourties	male_masculine	Deutschland Deutsch		German	0	0	0		11.045861297539151	
c5bfef2b58c8be672d457214d7def2bb	71270	spontaneous-speech-de-71270.mp3	9900	7528	Wenn du eine Zeitmaschine hättest, in welche Zeit würdest du reisen und warum?	Ich würd in alle Zeiten reisen und warum? Weil ich gerne sehen würde ob das alles wahr ist.	0	fourties	male_masculine	Deutschland Deutsch		German	0	0	0		7.474747474747475	
5c6dcdff9cf0654ab31e83c596cb4d89	71324	spontaneous-speech-de-71324.mp3	5364	7506	Kochst du gerne und wenn ja, was?	Ich koche sehr gerne und sehr unterschiedliche Dinge	1	fifties	female_feminine	Deutschland Deutsch		German	0	0	0		8.389261744966444	
5c6dcdff9cf0654ab31e83c596cb4d89	71325	spontaneous-speech-de-71325.mp3	10188	7536	Wenn du ein Tier wärst, welches wärst du und warum?	Wenn ich ein Tier wäre, würde ich eine Rauchschwalbe sein wollen, weil die so wunderschön singen, wenn sie aus Ihrem Winter in Afrika zurückkommen.	1	fifties	female_feminine	Deutschland Deutsch		German	0	0	0		12.171181782489203	
5c6dcdff9cf0654ab31e83c596cb4d89	71326	spontaneous-speech-de-71326.mp3	5616	7519	Welche Sprache würdest du gerne lernen und warum?	Ich möchte gerne Neugriechisch lernen, weil meine Schwester in Griechenland wohnt.	1	fifties	female_feminine	Deutschland Deutsch		German	0	0	0		12.82051282051282	
5c6dcdff9cf0654ab31e83c596cb4d89	71327	spontaneous-speech-de-71327.mp3	5652	7532	Was ist für dich das Wichtigste in einer Beziehung?	Das ist eine Frage die ich unmöglich beantworten kann.	0	fifties	female_feminine	Deutschland Deutsch		German	0	0	0		8.138711960368012	
5c6dcdff9cf0654ab31e83c596cb4d89	71328	spontaneous-speech-de-71328.mp3	3276	7554	Wie siehst du die Zukunft der künstlichen Intelligenz in den nächsten zehn Jahren?	Ich bin sehr skeptisch.	0	fifties	female_feminine	Deutschland Deutsch		German	0	0	0		6.105006105006105	
5c6dcdff9cf0654ab31e83c596cb4d89	71329	spontaneous-speech-de-71329.mp3	7200	7495	Welche Jahreszeit magst du am liebsten und warum?	Ich mag am liebsten den Herbst, weil sich dann alles ein bisschen zurückfaltet.	1	fifties	female_feminine	Deutschland Deutsch		German	0	0	0		9.305555555555555	
5c6dcdff9cf0654ab31e83c596cb4d89	71330	spontaneous-speech-de-71330.mp3	6192	7513	Welchen Sport machst du am liebsten und warum?	Ich mache nicht gerne Sport. Aber wenn ich einen machen würde, dann wäre es Tanzen	1	fifties	female_feminine	Deutschland Deutsch		German	0	0	0		10.981912144702843	
5c6dcdff9cf0654ab31e83c596cb4d89	71331	spontaneous-speech-de-71331.mp3	4572	7497	Wohin fährst du am liebsten in den Urlaub?	Ich persönlich fahre am liebsten ans Meer.	1	fifties	female_feminine	Deutschland Deutsch		German	0	0	0		7.874015748031496	
5c6dcdff9cf0654ab31e83c596cb4d89	71332	spontaneous-speech-de-71332.mp3	14868	7528	Wenn du eine Zeitmaschine hättest, in welche Zeit würdest du reisen und warum?	Ich würde gerne in das England von Jane Austens reisen, weil ich [unclear] Bücher sehr liebe und mal erfahren möchte, wie sehr eigentlich mit der damaligen Zeit übereinstimmen.	0	fifties	female_feminine	Deutschland Deutsch		German	0	0	0		10.02152273338714	
5c6dcdff9cf0654ab31e83c596cb4d89	71333	spontaneous-speech-de-71333.mp3	11448	7522	Welche Art von Kleidung trägst du am liebsten und warum?	Ich sag trage sehr gerne Kleider aus guten Webstoffen, weil ich es einfach schön finde, wenn Dinge des Alltags sorgfältig hergestellt werden.	0	fifties	female_feminine	Deutschland Deutsch		German	0	0	0		10.482180293501047	
5c6dcdff9cf0654ab31e83c596cb4d89	71334	spontaneous-speech-de-71334.mp3	11844	7504	Welche Art von Wetter magst du am liebsten und warum?	Ich mag sehr gerne Regen und zwar deswegen weil er einen dazu bringt drinnen zu bleiben und trotzdem was draußen präsent macht.	0	fifties	female_feminine	Deutschland Deutsch		German	0	0	0		8.94967916244512	
afb8ea5f4b1d1779300a9cfea9966f0d	71499	spontaneous-speech-de-71499.mp3	12276	7551	Welche gesellschaftlichen Veränderungen würdest du gerne sehen?	Die gesellschaftliche Veränderung, die ich mir wünschen würde, wäre absolute Diskriminierungsfreiheit und ein friedliches Miteinander.	1	thirties	male_masculine	Deutschland Deutsch		German	0	0	0		9.775171065493646	
5c6dcdff9cf0654ab31e83c596cb4d89	71650	spontaneous-speech-de-71650.mp3	9396	7508	Welche Art von Essen würdest du gerne einmal probieren und warum?	Ich würde gerne authentisches japanisches Essen ausprobieren, weil ich mir das sehr fein vorstelle.	1	fifties	female_feminine	Deutschland Deutsch		German	0	0	1		9.15283099191145	
5c6dcdff9cf0654ab31e83c596cb4d89	71651	spontaneous-speech-de-71651.mp3	5976	7502	Welche Farbe magst du am meisten und warum?	Ich mag am liebsten Blau, weil die das die Farbe des Himmels ist.	1	fifties	female_feminine	Deutschland Deutsch		German	0	0	0		8.868808567603748	
5c6dcdff9cf0654ab31e83c596cb4d89	71652	spontaneous-speech-de-71652.mp3	9756	7512	Wohin würdest du gerne einmal fahren und warum?	Ich möchte gerne einmal in ein Flusstal fahren indem der Fluss noch nicht begradigt ist.	0	fifties	female_feminine	Deutschland Deutsch		German	0	0	0		7.585075850758507	
5c6dcdff9cf0654ab31e83c596cb4d89	71653	spontaneous-speech-de-71653.mp3	10188	7533	Welche Traditionen pflegst du in deiner Familie?	Wir pflegen ein Rundbrief, der von Familienmitglieds Familien Mitglied weiter geschickt und mit den aktuellen Nachrichten ergänzt wird.	0	fifties	female_feminine	Deutschland Deutsch		German	0	0	0		11.582253631723596	
5c6dcdff9cf0654ab31e83c596cb4d89	71654	spontaneous-speech-de-71654.mp3	8820	7551	Welche gesellschaftlichen Veränderungen würdest du gerne sehen?	Ich würde gerne mehr Toleranz und insbesondere mehr Dialog unter unterschiedlichen Gruppen und Menschen sehen.	1	fifties	female_feminine	Deutschland Deutsch		German	0	0	0		10.884353741496598	
